"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 09:49:21 GMT 2024","Fri Aug 23 09:49:23 GMT 2024","1863","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts",""
"passed","Fri Aug 23 09:49:18 GMT 2024","Fri Aug 23 09:49:20 GMT 2024","1844","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
"broken","Fri Aug 23 09:49:08 GMT 2024","Fri Aug 23 09:49:12 GMT 2024","4259","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"passed","Fri Aug 23 09:49:05 GMT 2024","Fri Aug 23 09:49:07 GMT 2024","1855","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"passed","Fri Aug 23 09:49:25 GMT 2024","Fri Aug 23 09:49:26 GMT 2024","1838","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"passed","Fri Aug 23 09:49:01 GMT 2024","Fri Aug 23 09:49:03 GMT 2024","1908","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Fri Aug 23 09:48:55 GMT 2024","Fri Aug 23 09:48:57 GMT 2024","1696","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCreateNewBills","testCreateNewBills",""
"passed","Fri Aug 23 09:48:50 GMT 2024","Fri Aug 23 09:48:51 GMT 2024","1024","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.000.02 Validate create budget with 'Add an amount every period'"
"passed","Fri Aug 23 09:48:41 GMT 2024","Fri Aug 23 09:48:43 GMT 2024","2109","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddValidAmount","testBudgetAddValidAmount","06.001.01 Validate add valid amount"
"passed","Fri Aug 23 09:48:46 GMT 2024","Fri Aug 23 09:48:48 GMT 2024","1872","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testChangeBudgetByFixedAmount","testChangeBudgetByFixedAmount","TC_06.001.03 Validate change budget by 'Set a fixed amount every period'"
"passed","Fri Aug 23 09:48:52 GMT 2024","Fri Aug 23 09:48:53 GMT 2024","1049","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","TC_06.000.03 Validate create budgets with 'Add an amount every period and correct for overspending'"
"passed","Fri Aug 23 09:48:35 GMT 2024","Fri Aug 23 09:48:36 GMT 2024","882","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateValidBudgets","testCreateValidBudgets","06.000.01 Validate creation of a new budget"
"passed","Fri Aug 23 09:49:14 GMT 2024","Fri Aug 23 09:49:16 GMT 2024","1870","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch",""
"passed","Fri Aug 23 09:48:44 GMT 2024","Fri Aug 23 09:48:45 GMT 2024","356","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.002.01 Correct month and year"
"passed","Fri Aug 23 09:48:58 GMT 2024","Fri Aug 23 09:49:00 GMT 2024","1430","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"passed","Fri Aug 23 09:48:37 GMT 2024","Fri Aug 23 09:48:39 GMT 2024","1914","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddInvalidAmount","testBudgetAddInvalidAmount","06.001.02 Add invalid amount"
