"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 27 14:29:38 GMT 2024","Fri Sep 27 14:29:38 GMT 2024","20","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPlaceholderEmailText","testPlaceholderEmailText","TC_02.005.01 Validate Placeholder Email Text"
"unknown","Fri Sep 27 14:28:47 GMT 2024","Fri Sep 27 14:28:47 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testSecureConnectionHTTPS","testSecureConnectionHTTPS","TC_02.007.02 Validate Secure Connection (HTTPS)"
"passed","Fri Sep 27 14:29:47 GMT 2024","Fri Sep 27 14:29:48 GMT 2024","688","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testSuccessfulLoginWithCorrectCredentials","testSuccessfulLoginWithCorrectCredentials","TC_02.001.01 Validate Successful Login with Correct Credentials"
"passed","Fri Sep 27 14:29:24 GMT 2024","Fri Sep 27 14:29:24 GMT 2024","417","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.001.02 Validate Budget Page Displays Correct Month and Year"
"passed","Fri Sep 27 14:29:14 GMT 2024","Fri Sep 27 14:29:14 GMT 2024","758","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testSuccessfulAccountRegistration","testSuccessfulAccountRegistration","TC_01.001.01 Validate Successful Account Registration"
"passed","Fri Sep 27 14:29:09 GMT 2024","Fri Sep 27 14:29:09 GMT 2024","19","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderPasswordText","testPlaceholderPasswordText","TC_01.005.02 Validate Placeholder Password Text"
"passed","Fri Sep 27 14:29:15 GMT 2024","Fri Sep 27 14:29:16 GMT 2024","967","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateValidBudgets","testCreateValidBudgets","TC_06.001.01 Validate Creation of a New Budget"
"passed","Fri Sep 27 14:28:49 GMT 2024","Fri Sep 27 14:28:49 GMT 2024","356","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testClearingLocalStorageOnLogout","testClearingLocalStorageOnLogout","TC_03.002.02 Validate Clearing Local Storage on Logout"
"passed","Fri Sep 27 14:29:03 GMT 2024","Fri Sep 27 14:29:03 GMT 2024","766","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMeetsAllRequirements","testPasswordMeetsAllRequirements","TC_01.003.04 Validate Password Meets All Requirements"
"passed","Fri Sep 27 14:29:01 GMT 2024","Fri Sep 27 14:29:01 GMT 2024","464","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testDuplicateEmailRegistrationAttempt","testDuplicateEmailRegistrationAttempt","TC_01.007.02 Validate Duplicate Email Registration Attempt"
"passed","Fri Sep 27 14:29:08 GMT 2024","Fri Sep 27 14:29:08 GMT 2024","22","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderPasswordConfirmText","testPlaceholderPasswordConfirmText","TC_01.005.03 Validate Placeholder Password Confirm Text"
"passed","Fri Sep 27 14:29:52 GMT 2024","Fri Sep 27 14:29:53 GMT 2024","1549","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"unknown","Fri Sep 27 14:28:47 GMT 2024","Fri Sep 27 14:28:47 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyEmailAndPassword","testErrorMessageEmptyEmailAndPassword","TC_02.002.05 Validate Error Message for Empty Email and Password"
"passed","Fri Sep 27 14:28:55 GMT 2024","Fri Sep 27 14:28:55 GMT 2024","341","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testRedirectLoginForAuthenticatedPagesAfterLogout","testRedirectLoginForAuthenticatedPagesAfterLogout","TC_03.001.02 Validate Redirect to Login for Authenticated Pages After Logout"
"unknown","Fri Sep 27 14:28:47 GMT 2024","Fri Sep 27 14:28:47 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAttemptRegisterWithoutAgreeingTerms","testAttemptRegisterWithoutAgreeingTerms","TC_01.007.03 Validate Attempt to Register Without Agreeing to Terms"
"passed","Fri Sep 27 14:29:29 GMT 2024","Fri Sep 27 14:29:30 GMT 2024","1030","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.002.01 Validate Create Budget With add Amount Every Period'"
"passed","Fri Sep 27 14:29:43 GMT 2024","Fri Sep 27 14:29:43 GMT 2024","913","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogout","testBrowserBackButtonInLogout","TC_02.006.02 Validate Browser Back Button in Logout"
"passed","Fri Sep 27 14:29:49 GMT 2024","Fri Sep 27 14:29:51 GMT 2024","1621","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCreateNewBill","testCreateNewBill",""
"passed","Fri Sep 27 14:29:41 GMT 2024","Fri Sep 27 14:29:42 GMT 2024","892","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogin","testBrowserBackButtonInLogin","TC_02.006.01 Validate Browser Back Button in Login"
"passed","Fri Sep 27 14:30:12 GMT 2024","Fri Sep 27 14:30:14 GMT 2024","2256","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"unknown","Fri Sep 27 14:28:47 GMT 2024","Fri Sep 27 14:28:47 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyPassword","testErrorMessageEmptyPassword","TC_02.002.04 Validate Error Message for Empty Password"
"passed","Fri Sep 27 14:29:54 GMT 2024","Fri Sep 27 14:29:56 GMT 2024","1917","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Fri Sep 27 14:29:25 GMT 2024","Fri Sep 27 14:29:27 GMT 2024","2118","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testChangeBudgetByFixedAmount","testChangeBudgetByFixedAmount","TC_06.002.02 Validate Change Budget to Fixed Amount Every Period"
"passed","Fri Sep 27 14:29:05 GMT 2024","Fri Sep 27 14:29:05 GMT 2024","25","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordSecurityIsSelectedByDefault","testPasswordSecurityIsSelectedByDefault","TC_01.004.02 Validate 'Verify Password Security' is Selected by Default"
"passed","Fri Sep 27 14:28:57 GMT 2024","Fri Sep 27 14:28:57 GMT 2024","371","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAcceptingSpacesInputFields","testAcceptingSpacesInputFields","TC_01.007.01 Validate Accepting Spaces in Input Fields"
"passed","Fri Sep 27 14:30:10 GMT 2024","Fri Sep 27 14:30:11 GMT 2024","993","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"passed","Fri Sep 27 14:29:17 GMT 2024","Fri Sep 27 14:29:19 GMT 2024","2000","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddInvalidAmount","testBudgetAddInvalidAmount","TC_06.004.02 Validate add Invalid Amount to Budget"
"unknown","Fri Sep 27 14:28:47 GMT 2024","Fri Sep 27 14:28:47 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMissingUppercaseLetter","testPasswordMissingUppercaseLetter","TC_01.003.05 Validate Password Missing Uppercase Letter"
"passed","Fri Sep 27 14:29:04 GMT 2024","Fri Sep 27 14:29:05 GMT 2024","489","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordSecurityFeature","testPasswordSecurityFeature","TC_01.004.01 Validate the 'Verify the Password Security' Feature"
"unknown","Fri Sep 27 14:28:47 GMT 2024","Fri Sep 27 14:28:47 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMissingNumber","testPasswordMissingNumber","TC_01.003.03 Validate Password Missing Number"
"passed","Fri Sep 27 14:28:50 GMT 2024","Fri Sep 27 14:28:50 GMT 2024","244","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testClearingSessionCookieOnLogout","testClearingSessionCookieOnLogout","TC_03.002.01 Validate Clearing Session Cookie on Logout"
"passed","Fri Sep 27 14:29:12 GMT 2024","Fri Sep 27 14:29:12 GMT 2024","332","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegistrationWithMissingPassword","testRegistrationWithMissingPassword","TC_01.002.03 Validate Registration with Missing Password"
"passed","Fri Sep 27 14:29:08 GMT 2024","Fri Sep 27 14:29:08 GMT 2024","26","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderEmailText","testPlaceholderEmailText","TC_01.005.01 Validate Placeholder Email Text"
"passed","Fri Sep 27 14:29:44 GMT 2024","Fri Sep 27 14:29:45 GMT 2024","531","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageIncorrectPassword","testErrorMessageIncorrectPassword","TC_02.002.01 Validate Error Message for Incorrect Password"
"passed","Fri Sep 27 14:29:30 GMT 2024","Fri Sep 27 14:29:32 GMT 2024","1162","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","TC_06.003.01 Validate Create Budget With add Amount and Correct for Overspending"
"passed","Fri Sep 27 14:28:53 GMT 2024","Fri Sep 27 14:28:53 GMT 2024","367","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testLogoutAndBrowserBackButton","testLogoutAndBrowserBackButton","TC_03.004.01 Validate Logout and Browser Back Button"
"passed","Fri Sep 27 14:29:35 GMT 2024","Fri Sep 27 14:29:38 GMT 2024","2128","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testLoggingNewPasswordAfterChangingPassword","testLoggingNewPasswordAfterChangingPassword","TC_02.003.05 Validate Logging New Password After Changing Password"
"passed","Fri Sep 27 14:29:10 GMT 2024","Fri Sep 27 14:29:10 GMT 2024","636","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegisteringKeyboardKeysUse","testRegisteringKeyboardKeysUse","TC_01.006.01 Validate Registering Keyboard Keys Use"
"passed","Fri Sep 27 14:29:07 GMT 2024","Fri Sep 27 14:29:07 GMT 2024","493","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordTooShort","testPasswordTooShort","TC_01.003.01 Validate Password Too Short"
"passed","Fri Sep 27 14:29:45 GMT 2024","Fri Sep 27 14:29:46 GMT 2024","526","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageNonExistentEmail","testErrorMessageNonExistentEmail","TC_02.002.02 Validate Error Message for Non-Existent Email"
