"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 28 22:15:34 GMT 2024","Wed Aug 28 22:15:36 GMT 2024","2271","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
"passed","Wed Aug 28 22:14:49 GMT 2024","Wed Aug 28 22:14:49 GMT 2024","332","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.002.01 Correct month and year"
"passed","Wed Aug 28 22:14:55 GMT 2024","Wed Aug 28 22:14:56 GMT 2024","990","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.000.02 Validate create budget with 'Add an amount every period'"
"failed","Wed Aug 28 22:15:38 GMT 2024","Wed Aug 28 22:15:40 GMT 2024","2109","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"passed","Wed Aug 28 22:15:04 GMT 2024","Wed Aug 28 22:15:05 GMT 2024","1120","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testRememberMeOption","testRememberMeOption","TC_01.001.09 Validate 'Remember Me' Option"
"passed","Wed Aug 28 22:14:42 GMT 2024","Wed Aug 28 22:14:44 GMT 2024","1959","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddInvalidAmount","testBudgetAddInvalidAmount","06.001.02 Add invalid amount"
"passed","Wed Aug 28 22:15:00 GMT 2024","Wed Aug 28 22:15:01 GMT 2024","555","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageNonExistentEmail","testErrorMessageNonExistentEmail","TC_01.001.03 Validate Error Message for Non-Existent Email"
"passed","Wed Aug 28 22:15:24 GMT 2024","Wed Aug 28 22:15:25 GMT 2024","853","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"passed","Wed Aug 28 22:15:02 GMT 2024","Wed Aug 28 22:15:02 GMT 2024","140","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testForgotPasswordFunctionality","testForgotPasswordFunctionality","TC_01.001.10 Validate 'Forgot Password?' Functionality"
"failed","Wed Aug 28 22:15:30 GMT 2024","Wed Aug 28 22:15:32 GMT 2024","2018","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
