"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 15:36:36 GMT 2024","Mon Sep 16 15:36:38 GMT 2024","1850","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch",""
"passed","Mon Sep 16 15:36:19 GMT 2024","Mon Sep 16 15:36:20 GMT 2024","970","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.002.01 Validate Create Budget With add Amount Every Period'"
"passed","Mon Sep 16 15:36:17 GMT 2024","Mon Sep 16 15:36:18 GMT 2024","1815","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testChangeBudgetByFixedAmount","testChangeBudgetByFixedAmount","TC_06.002.02 Validate Change Budget to Fixed Amount Every Period"
"passed","Mon Sep 16 15:36:09 GMT 2024","Mon Sep 16 15:36:11 GMT 2024","1962","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddInvalidAmount","testBudgetAddInvalidAmount","TC_06.004.02 Validate add Invalid Amount to Budget"
"passed","Mon Sep 16 15:36:26 GMT 2024","Mon Sep 16 15:36:26 GMT 2024","247","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testClearingSessionStorageOnLogout","testClearingSessionStorageOnLogout","TC_03.002.03 Validate Clearing Session Storage on Logout"
"passed","Mon Sep 16 15:36:57 GMT 2024","Mon Sep 16 15:36:58 GMT 2024","948","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogout","testBrowserBackButtonInLogout","TC_02.006.02 Validate Browser Back Button in Logout"
"passed","Mon Sep 16 15:35:51 GMT 2024","Mon Sep 16 15:35:51 GMT 2024","591","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAdditionalInformationButtonCheckYourPasswordSecurity","testAdditionalInformationButtonCheckYourPasswordSecurity","TC_01.004.03 Validate the Additional Information Button 'Check your password security'"
"passed","Mon Sep 16 15:35:53 GMT 2024","Mon Sep 16 15:35:54 GMT 2024","454","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testDuplicateEmailRegistrationAttempt","testDuplicateEmailRegistrationAttempt","TC_01.007.02 Validate Duplicate Email Registration Attempt"
"passed","Mon Sep 16 15:35:54 GMT 2024","Mon Sep 16 15:35:54 GMT 2024","109","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMasking","testPasswordMasking","TC_01.005.04 Validate Password Masking "
"unknown","Mon Sep 16 15:35:49 GMT 2024","Mon Sep 16 15:35:49 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMissingUppercaseLetter","testPasswordMissingUppercaseLetter","TC_01.003.05 Validate Password Missing Uppercase Letter"
