"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 30 09:30:13 GMT 2024","Fri Aug 30 09:30:14 GMT 2024","990","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateValidBudgets","testCreateValidBudgets","06.000.01 Validate creation of a new budget"
"passed","Fri Aug 30 09:30:30 GMT 2024","Fri Aug 30 09:30:31 GMT 2024","1003","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","TC_06.000.03 Validate create budgets with 'Add an amount every period and correct for overspending'"
"passed","Fri Aug 30 09:30:24 GMT 2024","Fri Aug 30 09:30:26 GMT 2024","1937","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testChangeBudgetByFixedAmount","testChangeBudgetByFixedAmount","TC_06.001.03 Validate change budget by 'Set a fixed amount every period'"
"passed","Fri Aug 30 09:30:44 GMT 2024","Fri Aug 30 09:30:45 GMT 2024","508","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testTabAndEnterKeyboardKeys","testTabAndEnterKeyboardKeys","TC_01.001.11 Validate Tab and Enter Keyboard Keys"
"unknown","Fri Aug 30 09:30:11 GMT 2024","Fri Aug 30 09:30:11 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyEmail","testErrorMessageEmptyEmail","TC_01.001.04 Validate Error Message for Empty Email"
"passed","Fri Aug 30 09:30:38 GMT 2024","Fri Aug 30 09:30:38 GMT 2024","142","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testForgotPasswordFunctionality","testForgotPasswordFunctionality","TC_01.001.10 Validate 'Forgot Password?' Functionality"
"passed","Fri Aug 30 09:30:52 GMT 2024","Fri Aug 30 09:30:54 GMT 2024","2013","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch",""
"passed","Fri Aug 30 09:31:02 GMT 2024","Fri Aug 30 09:31:04 GMT 2024","2142","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Fri Aug 30 09:30:34 GMT 2024","Fri Aug 30 09:30:35 GMT 2024","886","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogout","testBrowserBackButtonInLogout","TC_01.001.15 Validate Browser Back Button in Logout"
"passed","Fri Aug 30 09:30:50 GMT 2024","Fri Aug 30 09:30:51 GMT 2024","1441","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"passed","Fri Aug 30 09:30:59 GMT 2024","Fri Aug 30 09:31:00 GMT 2024","913","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"passed","Fri Aug 30 09:30:46 GMT 2024","Fri Aug 30 09:30:48 GMT 2024","1656","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCreateNewBills","testCreateNewBills",""
"passed","Fri Aug 30 09:30:36 GMT 2024","Fri Aug 30 09:30:36 GMT 2024","524","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageIncorrectPassword","testErrorMessageIncorrectPassword","TC_01.001.02 Validate Error Message for Incorrect Password"
"unknown","Fri Aug 30 09:30:11 GMT 2024","Fri Aug 30 09:30:11 GMT 2024","1","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testAccountLockoutAfterMultipleFailedAttempts","testAccountLockoutAfterMultipleFailedAttempts","TC_01.001.07 Validate Account Lockout After Multiple Failed Attempts"
"passed","Fri Aug 30 09:30:43 GMT 2024","Fri Aug 30 09:30:43 GMT 2024","628","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testSuccessfulLoginWithCorrectCredentials","testSuccessfulLoginWithCorrectCredentials","TC_01.001.01 Validate Successful Login with Correct Credentials"
"passed","Fri Aug 30 09:31:09 GMT 2024","Fri Aug 30 09:31:11 GMT 2024","1822","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
"passed","Fri Aug 30 09:30:32 GMT 2024","Fri Aug 30 09:30:33 GMT 2024","968","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogin","testBrowserBackButtonInLogin","TC_01.001.14 Validate Browser Back Button in Login"
"passed","Fri Aug 30 09:30:22 GMT 2024","Fri Aug 30 09:30:23 GMT 2024","344","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.002.01 Correct month and year"
"passed","Fri Aug 30 09:31:06 GMT 2024","Fri Aug 30 09:31:08 GMT 2024","2008","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"passed","Fri Aug 30 09:30:56 GMT 2024","Fri Aug 30 09:30:58 GMT 2024","1969","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts",""
"unknown","Fri Aug 30 09:30:11 GMT 2024","Fri Aug 30 09:30:11 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyEmailAndPassword","testErrorMessageEmptyEmailAndPassword","TC_01.001.06 Validate Error Message for Empty Email and Password"
"passed","Fri Aug 30 09:30:39 GMT 2024","Fri Aug 30 09:30:39 GMT 2024","22","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPlaceholderEmailText","testPlaceholderEmailText","TC_01.001.12 Validate Placeholder Email Text"
"passed","Fri Aug 30 09:30:39 GMT 2024","Fri Aug 30 09:30:39 GMT 2024","101","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPasswordToggleVisibility","testPasswordToggleVisibility","TC_01.001.08 Validate Password Toggle Visibility"
"passed","Fri Aug 30 09:30:41 GMT 2024","Fri Aug 30 09:30:42 GMT 2024","1080","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testRememberMeOption","testRememberMeOption","TC_01.001.09 Validate 'Remember Me' Option"
"passed","Fri Aug 30 09:30:40 GMT 2024","Fri Aug 30 09:30:40 GMT 2024","22","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPlaceholderPasswordText","testPlaceholderPasswordText","TC_01.001.13 Validate Placeholder Password Text"
"unknown","Fri Aug 30 09:30:11 GMT 2024","Fri Aug 30 09:30:11 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyPassword","testErrorMessageEmptyPassword","TC_01.001.05 Validate Error Message for Empty Password"
"passed","Fri Aug 30 09:30:19 GMT 2024","Fri Aug 30 09:30:21 GMT 2024","1953","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddValidAmount","testBudgetAddValidAmount","06.001.01 Validate add valid amount"
"passed","Fri Aug 30 09:31:13 GMT 2024","Fri Aug 30 09:31:15 GMT 2024","1851","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"passed","Fri Aug 30 09:30:37 GMT 2024","Fri Aug 30 09:30:37 GMT 2024","516","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageNonExistentEmail","testErrorMessageNonExistentEmail","TC_01.001.03 Validate Error Message for Non-Existent Email"
"passed","Fri Aug 30 09:30:28 GMT 2024","Fri Aug 30 09:30:29 GMT 2024","990","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.000.02 Validate create budget with 'Add an amount every period'"
