"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 23 09:46:41 GMT 2024","Tue Jul 23 09:46:44 GMT 2024","2454","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch",""
"broken","Tue Jul 23 09:46:37 GMT 2024","Tue Jul 23 09:46:40 GMT 2024","2499","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"passed","Tue Jul 23 09:45:58 GMT 2024","Tue Jul 23 09:45:59 GMT 2024","867","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateFirstBudgets","testCreateFirstBudgets","Create Budgets FI-T5"
"broken","Tue Jul 23 09:46:45 GMT 2024","Tue Jul 23 09:46:48 GMT 2024","2442","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
"passed","Tue Jul 23 09:46:16 GMT 2024","Tue Jul 23 09:46:17 GMT 2024","1834","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsWithFixedAmount","testCreateBudgetsWithFixedAmount","Change budgets to a fixed amount FI-T9"
"passed","Tue Jul 23 09:46:01 GMT 2024","Tue Jul 23 09:46:03 GMT 2024","1963","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testAddBudgetInvalidAmount","testAddBudgetInvalidAmount","Add budget invalid amount FI-T7"
"passed","Tue Jul 23 09:46:08 GMT 2024","Tue Jul 23 09:46:09 GMT 2024","1282","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","Budgets correct month and year FI-T8"
"passed","Tue Jul 23 09:46:26 GMT 2024","Tue Jul 23 09:46:27 GMT 2024","1495","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"passed","Tue Jul 23 09:46:13 GMT 2024","Tue Jul 23 09:46:14 GMT 2024","959","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","Create Budgets and correct for overspending FI-T11"
"broken","Tue Jul 23 09:46:54 GMT 2024","Tue Jul 23 09:46:56 GMT 2024","2419","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"broken","Tue Jul 23 09:46:33 GMT 2024","Tue Jul 23 09:46:36 GMT 2024","2496","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"broken","Tue Jul 23 09:46:29 GMT 2024","Tue Jul 23 09:46:32 GMT 2024","2508","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Tue Jul 23 09:46:04 GMT 2024","Tue Jul 23 09:46:06 GMT 2024","1901","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testAddBudgetValidAmount","testAddBudgetValidAmount","Add budget valid amount FI-T6"
"passed","Tue Jul 23 09:46:19 GMT 2024","Tue Jul 23 09:46:24 GMT 2024","5537","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCreateNewBills","testCreateNewBills",""
"broken","Tue Jul 23 09:46:50 GMT 2024","Tue Jul 23 09:46:52 GMT 2024","2481","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts",""
"passed","Tue Jul 23 09:46:11 GMT 2024","Tue Jul 23 09:46:11 GMT 2024","963","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAddAnAmountEveryPeriod","testCreateBudgetsAddAnAmountEveryPeriod","Create Budgets add an amount every period FI-T10"
