"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 22 19:12:17 GMT 2024","Sun Sep 22 19:12:17 GMT 2024","115","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMasking","testPasswordMasking","TC_01.005.04 Validate Password Masking "
"passed","Sun Sep 22 19:13:10 GMT 2024","Sun Sep 22 19:13:12 GMT 2024","1902","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"passed","Sun Sep 22 19:13:13 GMT 2024","Sun Sep 22 19:13:15 GMT 2024","2049","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch",""
"passed","Sun Sep 22 19:12:26 GMT 2024","Sun Sep 22 19:12:26 GMT 2024","334","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegistrationWithMissingPassword","testRegistrationWithMissingPassword","TC_01.002.03 Validate Registration with Missing Password"
"passed","Sun Sep 22 19:13:05 GMT 2024","Sun Sep 22 19:13:07 GMT 2024","1413","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"passed","Sun Sep 22 19:12:42 GMT 2024","Sun Sep 22 19:12:43 GMT 2024","1180","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.002.01 Validate Create Budget With add Amount Every Period'"
"passed","Sun Sep 22 19:12:55 GMT 2024","Sun Sep 22 19:12:56 GMT 2024","773","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogin","testBrowserBackButtonInLogin","TC_02.006.01 Validate Browser Back Button in Login"
"passed","Sun Sep 22 19:12:25 GMT 2024","Sun Sep 22 19:12:25 GMT 2024","382","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegistrationWithMissingEmail","testRegistrationWithMissingEmail","TC_01.002.01 Validate Registration with Missing Email"
"passed","Sun Sep 22 19:13:22 GMT 2024","Sun Sep 22 19:13:23 GMT 2024","948","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"unknown","Sun Sep 22 19:12:03 GMT 2024","Sun Sep 22 19:12:03 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyEmail","testErrorMessageEmptyEmail","TC_02.002.03 Validate Error Message for Empty Email"
"passed","Sun Sep 22 19:12:22 GMT 2024","Sun Sep 22 19:12:22 GMT 2024","25","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderPasswordConfirmText","testPlaceholderPasswordConfirmText","TC_01.005.03 Validate Placeholder Password Confirm Text"
"passed","Sun Sep 22 19:13:24 GMT 2024","Sun Sep 22 19:13:26 GMT 2024","2220","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"passed","Sun Sep 22 19:12:32 GMT 2024","Sun Sep 22 19:12:34 GMT 2024","2020","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddInvalidAmount","testBudgetAddInvalidAmount","TC_06.004.02 Validate add Invalid Amount to Budget"
"passed","Sun Sep 22 19:12:46 GMT 2024","Sun Sep 22 19:12:49 GMT 2024","2249","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testNoLoggingAfterChangingPassword","testNoLoggingAfterChangingPassword","TC_02.003.04 Validate No Logging Old Password After Changing Password"
"passed","Sun Sep 22 19:12:21 GMT 2024","Sun Sep 22 19:12:21 GMT 2024","484","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordTooShort","testPasswordTooShort","TC_01.003.01 Validate Password Too Short"
"passed","Sun Sep 22 19:12:35 GMT 2024","Sun Sep 22 19:12:37 GMT 2024","1969","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddValidAmount","testBudgetAddValidAmount","TC_06.004.01 Validate add Valid Amount to Budget"
"passed","Sun Sep 22 19:12:12 GMT 2024","Sun Sep 22 19:12:12 GMT 2024","275","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testSuccessfulLogout","testSuccessfulLogout","TC_03.001.01 Validate Successful Logout"
"passed","Sun Sep 22 19:12:09 GMT 2024","Sun Sep 22 19:12:09 GMT 2024","376","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testLogoutAndBrowserBackButton","testLogoutAndBrowserBackButton","TC_03.004.01 Validate Logout and Browser Back Button"
"passed","Sun Sep 22 19:12:24 GMT 2024","Sun Sep 22 19:12:24 GMT 2024","651","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegisteringKeyboardKeysUse","testRegisteringKeyboardKeysUse","TC_01.006.01 Validate Registering Keyboard Keys Use"
"unknown","Sun Sep 22 19:12:03 GMT 2024","Sun Sep 22 19:12:03 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testSecureConnectionHTTPS","testSecureConnectionHTTPS","TC_02.007.02 Validate Secure Connection (HTTPS)"
"passed","Sun Sep 22 19:12:52 GMT 2024","Sun Sep 22 19:12:52 GMT 2024","23","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPlaceholderEmailText","testPlaceholderEmailText","TC_02.005.01 Validate Placeholder Email Text"
"unknown","Sun Sep 22 19:12:03 GMT 2024","Sun Sep 22 19:12:03 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyPassword","testErrorMessageEmptyPassword","TC_02.002.04 Validate Error Message for Empty Password"
"passed","Sun Sep 22 19:12:54 GMT 2024","Sun Sep 22 19:12:54 GMT 2024","481","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testTabAndEnterKeyboardKeys","testTabAndEnterKeyboardKeys","TC_02.004.01 Validate Tab and Enter Keyboard Keys"
"passed","Sun Sep 22 19:13:08 GMT 2024","Sun Sep 22 19:13:09 GMT 2024","1911","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Sun Sep 22 19:13:00 GMT 2024","Sun Sep 22 19:13:00 GMT 2024","22","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPlaceholderPasswordText","testPlaceholderPasswordText","TC_02.005.02 Validate Placeholder Password Text"
"passed","Sun Sep 22 19:12:23 GMT 2024","Sun Sep 22 19:12:23 GMT 2024","19","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderPasswordText","testPlaceholderPasswordText","TC_01.005.02 Validate Placeholder Password Text"
"passed","Sun Sep 22 19:12:59 GMT 2024","Sun Sep 22 19:12:59 GMT 2024","542","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageNonExistentEmail","testErrorMessageNonExistentEmail","TC_02.002.02 Validate Error Message for Non-Existent Email"
"passed","Sun Sep 22 19:12:22 GMT 2024","Sun Sep 22 19:12:22 GMT 2024","23","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderEmailText","testPlaceholderEmailText","TC_01.005.01 Validate Placeholder Email Text"
"passed","Sun Sep 22 19:12:10 GMT 2024","Sun Sep 22 19:12:11 GMT 2024","338","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testRedirectLoginForAuthenticatedPagesAfterLogout","testRedirectLoginForAuthenticatedPagesAfterLogout","TC_03.001.02 Validate Redirect to Login for Authenticated Pages After Logout"
"unknown","Sun Sep 22 19:12:03 GMT 2024","Sun Sep 22 19:12:03 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyEmailAndPassword","testErrorMessageEmptyEmailAndPassword","TC_02.002.05 Validate Error Message for Empty Email and Password"
"passed","Sun Sep 22 19:12:14 GMT 2024","Sun Sep 22 19:12:14 GMT 2024","594","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAdditionalInformationButtonCheckYourPasswordSecurity","testAdditionalInformationButtonCheckYourPasswordSecurity","TC_01.004.03 Validate the Additional Information Button 'Check your password security'"
"passed","Sun Sep 22 19:12:52 GMT 2024","Sun Sep 22 19:12:53 GMT 2024","1122","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testRememberMeOption","testRememberMeOption","TC_02.001.02 Validate 'Remember Me' Option"
"unknown","Sun Sep 22 19:12:03 GMT 2024","Sun Sep 22 19:12:03 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMissingSpecialCharacter","testPasswordMissingSpecialCharacter","TC_01.003.02 Validate Password Missing Special Character"
"unknown","Sun Sep 22 19:12:03 GMT 2024","Sun Sep 22 19:12:03 GMT 2024","1","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testAccountLockoutAfterMultipleFailedAttempts","testAccountLockoutAfterMultipleFailedAttempts","TC_02.002.06 Validate Account Lockout After Multiple Failed Attempts"
"passed","Sun Sep 22 19:12:30 GMT 2024","Sun Sep 22 19:12:31 GMT 2024","949","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateValidBudgets","testCreateValidBudgets","TC_06.001.01 Validate Creation of a New Budget"
"passed","Sun Sep 22 19:12:16 GMT 2024","Sun Sep 22 19:12:16 GMT 2024","473","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testDuplicateEmailRegistrationAttempt","testDuplicateEmailRegistrationAttempt","TC_01.007.02 Validate Duplicate Email Registration Attempt"
"passed","Sun Sep 22 19:12:39 GMT 2024","Sun Sep 22 19:12:41 GMT 2024","1888","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testChangeBudgetByFixedAmount","testChangeBudgetByFixedAmount","TC_06.002.02 Validate Change Budget to Fixed Amount Every Period"
"passed","Sun Sep 22 19:12:18 GMT 2024","Sun Sep 22 19:12:19 GMT 2024","813","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMeetsAllRequirements","testPasswordMeetsAllRequirements","TC_01.003.04 Validate Password Meets All Requirements"
"passed","Sun Sep 22 19:12:04 GMT 2024","Sun Sep 22 19:12:05 GMT 2024","391","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testClearingLocalStorageOnLogout","testClearingLocalStorageOnLogout","TC_03.002.02 Validate Clearing Local Storage on Logout"
"passed","Sun Sep 22 19:13:00 GMT 2024","Sun Sep 22 19:13:00 GMT 2024","107","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPasswordToggleVisibility","testPasswordToggleVisibility","TC_02.003.01 Validate Password Toggle Visibility"
"passed","Sun Sep 22 19:12:57 GMT 2024","Sun Sep 22 19:12:58 GMT 2024","540","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageIncorrectPassword","testErrorMessageIncorrectPassword","TC_02.002.01 Validate Error Message for Incorrect Password"
"passed","Sun Sep 22 19:12:13 GMT 2024","Sun Sep 22 19:12:13 GMT 2024","371","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAcceptingSpacesInputFields","testAcceptingSpacesInputFields","TC_01.007.01 Validate Accepting Spaces in Input Fields"
"passed","Sun Sep 22 19:12:46 GMT 2024","Sun Sep 22 19:12:46 GMT 2024","143","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testForgotPasswordFunctionality","testForgotPasswordFunctionality","TC_02.003.02 Validate 'Forgot Password?' Functionality"
"passed","Sun Sep 22 19:12:15 GMT 2024","Sun Sep 22 19:12:15 GMT 2024","609","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testDifferentPasswordsInConfirmationField","testDifferentPasswordsInConfirmationField","TC_01.002.05 Validate Different Passwords in Confirmation Field"
"passed","Sun Sep 22 19:12:44 GMT 2024","Sun Sep 22 19:12:45 GMT 2024","1194","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","TC_06.003.01 Validate Create Budget With add Amount and Correct for Overspending"
"passed","Sun Sep 22 19:12:56 GMT 2024","Sun Sep 22 19:12:57 GMT 2024","902","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogout","testBrowserBackButtonInLogout","TC_02.006.02 Validate Browser Back Button in Logout"
"passed","Sun Sep 22 19:12:06 GMT 2024","Sun Sep 22 19:12:06 GMT 2024","275","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testClearingSessionCookieOnLogout","testClearingSessionCookieOnLogout","TC_03.002.01 Validate Clearing Session Cookie on Logout"
"passed","Sun Sep 22 19:12:20 GMT 2024","Sun Sep 22 19:12:20 GMT 2024","20","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordSecurityIsSelectedByDefault","testPasswordSecurityIsSelectedByDefault","TC_01.004.02 Validate 'Verify Password Security' is Selected by Default"
"passed","Sun Sep 22 19:13:16 GMT 2024","Sun Sep 22 19:13:18 GMT 2024","1950","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
"unknown","Sun Sep 22 19:12:03 GMT 2024","Sun Sep 22 19:12:03 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAttemptRegisterWithoutAgreeingTerms","testAttemptRegisterWithoutAgreeingTerms","TC_01.007.03 Validate Attempt to Register Without Agreeing to Terms"
"unknown","Sun Sep 22 19:12:03 GMT 2024","Sun Sep 22 19:12:03 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMissingUppercaseLetter","testPasswordMissingUppercaseLetter","TC_01.003.05 Validate Password Missing Uppercase Letter"
"passed","Sun Sep 22 19:13:19 GMT 2024","Sun Sep 22 19:13:21 GMT 2024","2038","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts",""
"passed","Sun Sep 22 19:12:38 GMT 2024","Sun Sep 22 19:12:38 GMT 2024","356","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.001.02 Validate Budget Page Displays Correct Month and Year"
"passed","Sun Sep 22 19:13:01 GMT 2024","Sun Sep 22 19:13:01 GMT 2024","680","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testSuccessfulLoginWithCorrectCredentials","testSuccessfulLoginWithCorrectCredentials","TC_02.001.01 Validate Successful Login with Correct Credentials"
"passed","Sun Sep 22 19:12:08 GMT 2024","Sun Sep 22 19:12:08 GMT 2024","477","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testClearingSessionStorageOnLogout","testClearingSessionStorageOnLogout","TC_03.002.03 Validate Clearing Session Storage on Logout"
