"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 02 15:40:32 GMT 2024","Wed Oct 02 15:40:33 GMT 2024","1126","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testRememberMeOption","testRememberMeOption","TC_02.001.02 Validate 'Remember Me' Option"
"passed","Wed Oct 02 15:40:34 GMT 2024","Wed Oct 02 15:40:34 GMT 2024","465","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testTabAndEnterKeyboardKeys","testTabAndEnterKeyboardKeys","TC_02.004.01 Validate Tab and Enter Keyboard Keys"
"passed","Wed Oct 02 15:40:22 GMT 2024","Wed Oct 02 15:40:23 GMT 2024","1038","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.002.01 Validate Create Budget With add Amount Every Period'"
"passed","Wed Oct 02 15:40:06 GMT 2024","Wed Oct 02 15:40:07 GMT 2024","337","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegistrationWithMissingPassword","testRegistrationWithMissingPassword","TC_01.002.03 Validate Registration with Missing Password"
"passed","Wed Oct 02 15:40:24 GMT 2024","Wed Oct 02 15:40:25 GMT 2024","1002","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","TC_06.003.01 Validate Create Budget With add Amount and Correct for Overspending"
"unknown","Wed Oct 02 15:39:44 GMT 2024","Wed Oct 02 15:39:44 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testAccountLockoutAfterMultipleFailedAttempts","testAccountLockoutAfterMultipleFailedAttempts","TC_02.002.06 Validate Account Lockout After Multiple Failed Attempts"
"passed","Wed Oct 02 15:39:58 GMT 2024","Wed Oct 02 15:39:59 GMT 2024","819","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMeetsAllRequirements","testPasswordMeetsAllRequirements","TC_01.003.04 Validate Password Meets All Requirements"
"passed","Wed Oct 02 15:40:02 GMT 2024","Wed Oct 02 15:40:02 GMT 2024","23","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderEmailText","testPlaceholderEmailText","TC_01.005.01 Validate Placeholder Email Text"
"passed","Wed Oct 02 15:40:41 GMT 2024","Wed Oct 02 15:40:41 GMT 2024","667","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testSuccessfulLoginWithCorrectCredentials","testSuccessfulLoginWithCorrectCredentials","TC_02.001.01 Validate Successful Login with Correct Credentials"
"passed","Wed Oct 02 15:39:59 GMT 2024","Wed Oct 02 15:40:00 GMT 2024","495","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordSecurityFeature","testPasswordSecurityFeature","TC_01.004.01 Validate the 'Verify the Password Security' Feature"
"passed","Wed Oct 02 15:40:40 GMT 2024","Wed Oct 02 15:40:40 GMT 2024","147","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPasswordToggleVisibility","testPasswordToggleVisibility","TC_02.003.01 Validate Password Toggle Visibility"
"passed","Wed Oct 02 15:40:03 GMT 2024","Wed Oct 02 15:40:03 GMT 2024","19","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderPasswordConfirmText","testPlaceholderPasswordConfirmText","TC_01.005.03 Validate Placeholder Password Confirm Text"
"passed","Wed Oct 02 15:40:35 GMT 2024","Wed Oct 02 15:40:36 GMT 2024","888","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogin","testBrowserBackButtonInLogin","TC_02.006.01 Validate Browser Back Button in Login"
"passed","Wed Oct 02 15:40:01 GMT 2024","Wed Oct 02 15:40:02 GMT 2024","497","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordTooShort","testPasswordTooShort","TC_01.003.01 Validate Password Too Short"
"passed","Wed Oct 02 15:41:05 GMT 2024","Wed Oct 02 15:41:07 GMT 2024","2041","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"passed","Wed Oct 02 15:39:57 GMT 2024","Wed Oct 02 15:39:57 GMT 2024","119","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMasking","testPasswordMasking","TC_01.005.04 Validate Password Masking "
"passed","Wed Oct 02 15:40:15 GMT 2024","Wed Oct 02 15:40:17 GMT 2024","1980","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddValidAmount","testBudgetAddValidAmount","TC_06.004.01 Validate add Valid Amount to Budget"
"passed","Wed Oct 02 15:40:29 GMT 2024","Wed Oct 02 15:40:31 GMT 2024","2119","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testLoggingNewPasswordAfterChangingPassword","testLoggingNewPasswordAfterChangingPassword","TC_02.003.05 Validate Logging New Password After Changing Password"
"passed","Wed Oct 02 15:40:39 GMT 2024","Wed Oct 02 15:40:39 GMT 2024","533","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageNonExistentEmail","testErrorMessageNonExistentEmail","TC_02.002.02 Validate Error Message for Non-Existent Email"
"passed","Wed Oct 02 15:40:07 GMT 2024","Wed Oct 02 15:40:07 GMT 2024","382","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegistrationWithMissingPasswordAgain","testRegistrationWithMissingPasswordAgain","TC_01.002.04 Validate Registration with Missing Password (Again)"
"unknown","Wed Oct 02 15:39:44 GMT 2024","Wed Oct 02 15:39:44 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMissingUppercaseLetter","testPasswordMissingUppercaseLetter","TC_01.003.05 Validate Password Missing Uppercase Letter"
"passed","Wed Oct 02 15:40:03 GMT 2024","Wed Oct 02 15:40:03 GMT 2024","25","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderPasswordText","testPlaceholderPasswordText","TC_01.005.02 Validate Placeholder Password Text"
"passed","Wed Oct 02 15:40:01 GMT 2024","Wed Oct 02 15:40:01 GMT 2024","21","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordSecurityIsSelectedByDefault","testPasswordSecurityIsSelectedByDefault","TC_01.004.02 Validate 'Verify Password Security' is Selected by Default"
"passed","Wed Oct 02 15:40:26 GMT 2024","Wed Oct 02 15:40:29 GMT 2024","2200","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testNoLoggingAfterChangingPassword","testNoLoggingAfterChangingPassword","TC_02.003.04 Validate No Logging Old Password After Changing Password"
"passed","Wed Oct 02 15:39:56 GMT 2024","Wed Oct 02 15:39:57 GMT 2024","496","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testDuplicateEmailRegistrationAttempt","testDuplicateEmailRegistrationAttempt","TC_01.007.02 Validate Duplicate Email Registration Attempt"
"passed","Wed Oct 02 15:40:32 GMT 2024","Wed Oct 02 15:40:32 GMT 2024","22","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPlaceholderEmailText","testPlaceholderEmailText","TC_02.005.01 Validate Placeholder Email Text"
"passed","Wed Oct 02 15:39:54 GMT 2024","Wed Oct 02 15:39:55 GMT 2024","597","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAdditionalInformationButtonCheckYourPasswordSecurity","testAdditionalInformationButtonCheckYourPasswordSecurity","TC_01.004.03 Validate the Additional Information Button 'Check your password security'"
"passed","Wed Oct 02 15:40:08 GMT 2024","Wed Oct 02 15:40:09 GMT 2024","809","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testSuccessfulAccountRegistration","testSuccessfulAccountRegistration","TC_01.001.01 Validate Successful Account Registration"
"unknown","Wed Oct 02 15:39:44 GMT 2024","Wed Oct 02 15:39:44 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAttemptRegisterWithoutAgreeingTerms","testAttemptRegisterWithoutAgreeingTerms","TC_01.007.03 Validate Attempt to Register Without Agreeing to Terms"
"passed","Wed Oct 02 15:39:45 GMT 2024","Wed Oct 02 15:39:46 GMT 2024","379","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testClearingLocalStorageOnLogout","testClearingLocalStorageOnLogout","TC_03.002.02 Validate Clearing Local Storage on Logout"
"passed","Wed Oct 02 15:40:40 GMT 2024","Wed Oct 02 15:40:40 GMT 2024","24","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPlaceholderPasswordText","testPlaceholderPasswordText","TC_02.005.02 Validate Placeholder Password Text"
"passed","Wed Oct 02 15:40:38 GMT 2024","Wed Oct 02 15:40:38 GMT 2024","539","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageIncorrectPassword","testErrorMessageIncorrectPassword","TC_02.002.01 Validate Error Message for Incorrect Password"
"unknown","Wed Oct 02 15:39:44 GMT 2024","Wed Oct 02 15:39:44 GMT 2024","1","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testSecureConnectionHTTPS","testSecureConnectionHTTPS","TC_02.007.02 Validate Secure Connection (HTTPS)"
"passed","Wed Oct 02 15:40:51 GMT 2024","Wed Oct 02 15:40:52 GMT 2024","1855","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"passed","Wed Oct 02 15:40:36 GMT 2024","Wed Oct 02 15:40:37 GMT 2024","895","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogout","testBrowserBackButtonInLogout","TC_02.006.02 Validate Browser Back Button in Logout"
"passed","Wed Oct 02 15:40:05 GMT 2024","Wed Oct 02 15:40:06 GMT 2024","401","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegistrationWithMissingEmail","testRegistrationWithMissingEmail","TC_01.002.01 Validate Registration with Missing Email"
"passed","Wed Oct 02 15:39:52 GMT 2024","Wed Oct 02 15:39:52 GMT 2024","287","Surefire suite","Surefire test","test.LoggingOutTest","test.LoggingOutTest","testSuccessfulLogout","testSuccessfulLogout","TC_03.001.01 Validate Successful Logout"
"passed","Wed Oct 02 15:41:00 GMT 2024","Wed Oct 02 15:41:02 GMT 2024","2329","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts",""
"passed","Wed Oct 02 15:40:18 GMT 2024","Wed Oct 02 15:40:18 GMT 2024","556","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.001.02 Validate Budget Page Displays Correct Month and Year"
"passed","Wed Oct 02 15:39:55 GMT 2024","Wed Oct 02 15:39:56 GMT 2024","585","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testDifferentPasswordsInConfirmationField","testDifferentPasswordsInConfirmationField","TC_01.002.05 Validate Different Passwords in Confirmation Field"
