"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 04 14:48:47 GMT 2024","Wed Sep 04 14:48:48 GMT 2024","1890","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"passed","Wed Sep 04 14:48:54 GMT 2024","Wed Sep 04 14:48:55 GMT 2024","1989","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
"passed","Wed Sep 04 14:45:21 GMT 2024","Wed Sep 04 14:45:22 GMT 2024","395","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.002.01 Correct month and year"
"passed","Wed Sep 04 14:45:13 GMT 2024","Wed Sep 04 14:45:15 GMT 2024","2046","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddInvalidAmount","testBudgetAddInvalidAmount","06.001.02 Add invalid amount"
"passed","Wed Sep 04 14:47:50 GMT 2024","Wed Sep 04 14:47:50 GMT 2024","527","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageIncorrectPassword","testErrorMessageIncorrectPassword","TC_01.001.02 Validate Error Message for Incorrect Password"
"unknown","Wed Sep 04 14:45:09 GMT 2024","Wed Sep 04 14:45:09 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyPassword","testErrorMessageEmptyPassword","TC_01.001.05 Validate Error Message for Empty Password"
"passed","Wed Sep 04 14:48:40 GMT 2024","Wed Sep 04 14:48:42 GMT 2024","1497","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"passed","Wed Sep 04 14:45:32 GMT 2024","Wed Sep 04 14:45:32 GMT 2024","386","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAcceptingSpacesInputFields","testAcceptingSpacesInputFields","TC_01.001.11 Validate Accepting Spaces in Input Fields"
"passed","Wed Sep 04 14:45:23 GMT 2024","Wed Sep 04 14:45:25 GMT 2024","2179","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testChangeBudgetByFixedAmount","testChangeBudgetByFixedAmount","TC_06.001.03 Validate change budget by 'Set a fixed amount every period'"
"passed","Wed Sep 04 14:47:18 GMT 2024","Wed Sep 04 14:47:21 GMT 2024","2170","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testLoggingNewPasswordAfterChangingPassword","testLoggingNewPasswordAfterChangingPassword","TC_01.001.18 Validate Logging New Password After Changing Password"
"passed","Wed Sep 04 14:48:43 GMT 2024","Wed Sep 04 14:48:45 GMT 2024","1855","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Wed Sep 04 14:48:13 GMT 2024","Wed Sep 04 14:48:13 GMT 2024","104","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPasswordToggleVisibility","testPasswordToggleVisibility","TC_01.001.08 Validate Password Toggle Visibility"
"unknown","Wed Sep 04 14:45:09 GMT 2024","Wed Sep 04 14:45:09 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyEmail","testErrorMessageEmptyEmail","TC_01.001.04 Validate Error Message for Empty Email"
"passed","Wed Sep 04 14:46:16 GMT 2024","Wed Sep 04 14:46:17 GMT 2024","846","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testRegisteringKeyboardKeysUse","testRegisteringKeyboardKeysUse","TC_01.001.06 Validate Registering Keyboard Keys Use"
"passed","Wed Sep 04 14:47:36 GMT 2024","Wed Sep 04 14:47:37 GMT 2024","992","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogin","testBrowserBackButtonInLogin","TC_01.001.14 Validate Browser Back Button in Login"
"passed","Wed Sep 04 14:46:05 GMT 2024","Wed Sep 04 14:46:05 GMT 2024","25","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderPasswordText","testPlaceholderPasswordText","TC_01.001.08 Validate Placeholder Password Text"
