"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 10:49:35 GMT 2024","Fri Oct 04 10:49:36 GMT 2024","1012","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.002.01 Validate Create Budget With add Amount Every Period'"
"passed","Fri Oct 04 10:49:47 GMT 2024","Fri Oct 04 10:49:48 GMT 2024","878","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testBrowserBackButtonInLogin","testBrowserBackButtonInLogin","TC_02.006.01 Validate Browser Back Button in Login"
"passed","Fri Oct 04 10:50:16 GMT 2024","Fri Oct 04 10:50:18 GMT 2024","1923","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"passed","Fri Oct 04 10:49:44 GMT 2024","Fri Oct 04 10:49:44 GMT 2024","22","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testPlaceholderEmailText","testPlaceholderEmailText","TC_02.005.01 Validate Placeholder Email Text"
"passed","Fri Oct 04 10:49:15 GMT 2024","Fri Oct 04 10:49:16 GMT 2024","20","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPlaceholderPasswordConfirmText","testPlaceholderPasswordConfirmText","TC_01.005.03 Validate Placeholder Password Confirm Text"
"unknown","Fri Oct 04 10:48:57 GMT 2024","Fri Oct 04 10:48:57 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testAccountLockoutAfterMultipleFailedAttempts","testAccountLockoutAfterMultipleFailedAttempts","TC_02.002.06 Validate Account Lockout After Multiple Failed Attempts"
"passed","Fri Oct 04 10:49:12 GMT 2024","Fri Oct 04 10:49:13 GMT 2024","445","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordSecurityFeature","testPasswordSecurityFeature","TC_01.004.01 Validate the 'Verify the Password Security' Feature"
"passed","Fri Oct 04 10:49:13 GMT 2024","Fri Oct 04 10:49:13 GMT 2024","23","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordSecurityIsSelectedByDefault","testPasswordSecurityIsSelectedByDefault","TC_01.004.02 Validate 'Verify Password Security' is Selected by Default"
"unknown","Fri Oct 04 10:48:57 GMT 2024","Fri Oct 04 10:48:57 GMT 2024","0","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testPasswordMissingSpecialCharacter","testPasswordMissingSpecialCharacter","TC_01.003.02 Validate Password Missing Special Character"
"unknown","Fri Oct 04 10:48:57 GMT 2024","Fri Oct 04 10:48:57 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyPassword","testErrorMessageEmptyPassword","TC_02.002.04 Validate Error Message for Empty Password"
"passed","Fri Oct 04 10:50:00 GMT 2024","Fri Oct 04 10:50:02 GMT 2024","1933","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Fri Oct 04 10:49:51 GMT 2024","Fri Oct 04 10:49:51 GMT 2024","523","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageNonExistentEmail","testErrorMessageNonExistentEmail","TC_02.002.02 Validate Error Message for Non-Existent Email"
"unknown","Fri Oct 04 10:48:57 GMT 2024","Fri Oct 04 10:48:57 GMT 2024","0","Surefire suite","Surefire test","test.LoggingInTest","test.LoggingInTest","testErrorMessageEmptyEmail","testErrorMessageEmptyEmail","TC_02.002.03 Validate Error Message for Empty Email"
"passed","Fri Oct 04 10:50:14 GMT 2024","Fri Oct 04 10:50:15 GMT 2024","954","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"passed","Fri Oct 04 10:49:07 GMT 2024","Fri Oct 04 10:49:08 GMT 2024","593","Surefire suite","Surefire test","test.RegisterAccountTest","test.RegisterAccountTest","testAdditionalInformationButtonCheckYourPasswordSecurity","testAdditionalInformationButtonCheckYourPasswordSecurity","TC_01.004.03 Validate the Additional Information Button 'Check your password security'"
"passed","Fri Oct 04 10:49:31 GMT 2024","Fri Oct 04 10:49:31 GMT 2024","350","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.001.02 Validate Budget Page Displays Correct Month and Year"
