"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 10:06:56 GMT 2024","Tue Aug 27 10:06:58 GMT 2024","1820","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 10:06:12 GMT 2024","Tue Aug 27 10:06:13 GMT 2024","871","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateValidBudgets","testCreateValidBudgets","06.000.01 Validate creation of a new budget"
"passed","Tue Aug 27 10:06:29 GMT 2024","Tue Aug 27 10:06:30 GMT 2024","989","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","TC_06.000.03 Validate create budgets with 'Add an amount every period and correct for overspending'"
"passed","Tue Aug 27 10:06:14 GMT 2024","Tue Aug 27 10:06:16 GMT 2024","2058","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddInvalidAmount","testBudgetAddInvalidAmount","06.001.02 Add invalid amount"
"passed","Tue Aug 27 10:06:21 GMT 2024","Tue Aug 27 10:06:21 GMT 2024","347","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.002.01 Correct month and year"
"passed","Tue Aug 27 10:06:50 GMT 2024","Tue Aug 27 10:06:52 GMT 2024","1862","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 10:06:34 GMT 2024","Tue Aug 27 10:06:36 GMT 2024","1420","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 10:06:37 GMT 2024","Tue Aug 27 10:06:39 GMT 2024","1900","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 10:06:26 GMT 2024","Tue Aug 27 10:06:27 GMT 2024","942","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.000.02 Validate create budget with 'Add an amount every period'"
"passed","Tue Aug 27 10:06:18 GMT 2024","Tue Aug 27 10:06:20 GMT 2024","1879","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddValidAmount","testBudgetAddValidAmount","06.001.01 Validate add valid amount"
"passed","Tue Aug 27 10:06:46 GMT 2024","Tue Aug 27 10:06:48 GMT 2024","1880","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 10:06:41 GMT 2024","Tue Aug 27 10:06:43 GMT 2024","1856","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts",""
"passed","Tue Aug 27 10:06:44 GMT 2024","Tue Aug 27 10:06:45 GMT 2024","782","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"passed","Tue Aug 27 10:06:31 GMT 2024","Tue Aug 27 10:06:33 GMT 2024","1648","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCreateNewBills","testCreateNewBills",""
"passed","Tue Aug 27 10:06:23 GMT 2024","Tue Aug 27 10:06:25 GMT 2024","1805","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testChangeBudgetByFixedAmount","testChangeBudgetByFixedAmount","TC_06.001.03 Validate change budget by 'Set a fixed amount every period'"
"passed","Tue Aug 27 10:06:53 GMT 2024","Tue Aug 27 10:06:55 GMT 2024","1810","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
