"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Budget","","TS_06.000 Create budget","0","0","3","0","0"
"Register an Account","","US_01.002 Password Requirements","0","0","7","0","3"
"User Account Management","","US_01.001 Logging In","0","0","13","0","5"
"Budget","","TS_06.001 Change Configure Budget","0","0","3","0","0"
"Register an Account","","US_01.001 Basic Account Registration","0","0","9","0","0"
"Register an Account","","US_01.003 Error Handling for Duplicate Emails","0","0","1","0","0"
"Register an Account","","US_01.004 Privacy Agreement","0","0","0","0","1"
"Bill","","","0","0","9","0","0"
"Budget","","TS_06.002 Budget page","0","0","1","0","0"
